sml,group,in_I,in_II,rate_I,rate_II,MolWt,LogP,WaterAff,TPSA,HBD,HBA,AromaticRings,RotBonds,RingCount,FracCSP3,Heteroatoms,OxygenAtoms,Tb,VP,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur
SML0000,shared,True,True,0.016129032258064516,0.026954177897574125,136.238,3.308900000000002,-3.308900000000002,0.0,0,0,0,1,1,0.6,0,0,448.65,-2.320377521024696,0,0,0,0,0,0,0,0,0
SML0002,Class I only,True,False,0.016129032258064516,0.005390835579514825,156.26899999999998,2.4395000000000007,-2.4395000000000007,20.23,1,1,0,1,1,1.0,1,1,530.3499999999999,-3.5800110324381014,0,0,0,0,1,0,0,0,0
SML0003,Class I only,True,False,0.016129032258064516,0.005390835579514825,74.12299999999999,0.7787999999999999,-0.7787999999999999,20.23,1,1,0,2,0,1.0,1,1,383.29999999999995,-1.3128248898023442,0,0,0,0,1,0,0,0,0
SML0004,Class I only,True,False,0.016129032258064516,0.013477088948787063,132.203,1.1839,-1.1839,29.46,1,2,0,5,0,1.0,2,2,473.92,-2.7099850954851226,0,0,0,0,1,1,0,0,0
SML0005,shared,True,True,0.03225806451612903,0.04043126684636118,186.33899999999997,3.8996000000000035,-3.8996000000000035,20.23,1,1,0,10,0,1.0,1,1,566.3399999999999,-4.134897324675169,0,0,0,0,1,0,0,0,0
SML0013,shared,True,True,0.016129032258064516,0.018867924528301886,122.17099999999998,1.34742,-1.34742,25.78,0,2,1,1,1,0.42857142857142855,2,0,498.82,-3.0938880873357193,0,0,0,0,0,0,1,0,0
SML0015,Class I only,True,False,0.016129032258064516,0.0,60.05200000000001,0.09089999999999993,-0.09089999999999993,37.3,1,1,0,0,0,0.5,2,2,390.87,-1.4295375664412615,1,0,0,0,0,0,0,0,0
SML0016,Class I only,True,False,0.0967741935483871,0.008086253369272238,88.10599999999998,0.8711,-0.8711,37.3,1,1,0,2,0,0.75,2,2,436.63,-2.135055675159468,1,0,0,0,0,0,0,0,0
SML0017,Class II only,False,True,0.0,0.2398921832884097,146.14499999999995,1.7929999999999997,-1.7929999999999997,30.21,0,2,2,0,2,0.0,2,2,501.7,-3.138291324947354,0,0,0,0,0,0,1,0,0
SML0018,shared,True,True,0.20967741935483872,0.03234501347708895,200.32199999999997,3.991900000000002,-3.991900000000002,37.3,1,1,0,10,0,0.9166666666666666,2,2,619.6700000000001,-4.957128110032295,1,0,0,0,0,0,0,0,0
